mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
13.685300469398499,0.0023404359817504883,0.21028101444244385,0.004994034767150879,0.01,50,0.5,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.5}",0.615297876339034,0.6202276754550824,0.6177627758970582,0.002464899558024203,17
13.43166196346283,0.04722797870635986,0.17377805709838867,0.005482912063598633,0.01,50,0.9,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.9}",0.6124251617579939,0.6173011867046125,0.6148631742313032,0.0024380124733093256,18
25.30443239212036,0.03207063674926758,0.3491024971008301,0.0037872791290283203,0.01,100,0.5,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.5}",0.6184122211184794,0.6221070719003383,0.6202596465094088,0.0018474253909294691,15
24.653525352478027,0.03552651405334473,0.3214820623397827,0.010358929634094238,0.01,100,0.9,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.9}",0.6171235267269847,0.620523009182194,0.6188232679545893,0.0016997412276046897,16
36.435776591300964,0.037804484367370605,0.3639514446258545,0.00418853759765625,0.01,150,0.5,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.5}",0.6197546111096196,0.6241207109488267,0.6219376610292231,0.0021830499196035524,13
35.50005304813385,0.08682310581207275,0.40421950817108154,0.0035895109176635742,0.01,150,0.9,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.9}",0.6196203721105056,0.6238522257423615,0.6217362989264336,0.002115926815927982,14
13.5934898853302,0.02199697494506836,0.21893656253814697,0.002034306526184082,0.05,50,0.5,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.5}",0.6224393910919,0.6240670139075337,0.6232532024997168,0.0008138114078168335,10
13.110409498214722,0.030091524124145508,0.17819643020629883,0.004962444305419922,0.05,50,0.9,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.9}",0.6219561306950896,0.623610589056543,0.6227833598758163,0.0008272291807266963,12
22.583155870437622,0.011167049407958984,0.28202199935913086,0.0004279613494873047,0.05,100,0.5,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.5}",0.6234327596853438,0.6254631369811523,0.6244479483332481,0.0010151886479042305,7
21.354150533676147,0.08550858497619629,0.2828350067138672,0.0005190372467041016,0.05,100,0.9,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.9}",0.6222783042929632,0.6243086505933523,0.6232934774431578,0.0010151731501945593,9
31.050342082977295,0.014100074768066406,0.24827706813812256,0.0021609067916870117,0.05,150,0.5,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.5}",0.6236475420839263,0.6256242281050314,0.6246358850944789,0.0009883430105525615,5
29.63326096534729,0.06704902648925781,0.3149266242980957,0.0018794536590576172,0.05,150,0.9,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.9}",0.6239428678819771,0.6263491381624873,0.6251460030222322,0.0012031351402551071,1
11.105660915374756,0.0016300678253173828,0.17666709423065186,0.003781914710998535,0.1,50,0.5,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.5}",0.6230300426880018,0.62586586479085,0.6244479537394259,0.0014179110514241366,6
10.287936449050903,0.02043747901916504,0.17899954319000244,0.0022753477096557617,0.1,50,0.9,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.9}",0.6222246086933176,0.6242281050314128,0.6232263568623653,0.0010017481690475782,11
14.556050896644592,0.022549033164978027,0.14302754402160645,7.343292236328125e-05,0.1,100,0.5,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5}",0.6238891722823314,0.625973258873436,0.6249312155778837,0.0010420432955522974,3
13.505419373512268,0.06865155696868896,0.14207446575164795,0.0024465322494506836,0.1,100,0.9,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.9}",0.624103954680914,0.6257316221876175,0.6249177884342657,0.0008138337533517559,4
19.224796533584595,0.09409546852111816,0.1897495985031128,0.0004845857620239258,0.1,150,0.5,"{'learning_rate': 0.1, 'n_estimators': 150, 'subsample': 0.5}",0.6233522162858753,0.6255168340224454,0.6244345251541603,0.0010823088682850313,8
18.120718598365784,0.011368632316589355,0.18925738334655762,0.0009026527404785156,0.1,150,0.9,"{'learning_rate': 0.1, 'n_estimators': 150, 'subsample': 0.9}",0.6243455848793191,0.6255705310637384,0.6249580579715288,0.0006124730922096311,2
