mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
3.089689826965332,0.17475461700321607,0.009992599487304688,0.003188298325895875,0.01,50,0.5,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.5}",0.6503239272714333,0.6450580368009846,0.6566666100572323,0.6428814040433692,0.672448511697531,0.6440863762926158,0.6668633593161895,0.6407938936240822,0.6817132496377779,0.6522143671201651,0.6553049735861382,0.013254750502516295,17
2.5929169178009035,0.19392665263050535,0.007360076904296875,0.0015473887547893298,0.01,50,0.9,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.9}",0.6451186897665508,0.637890473683487,0.6534200589870306,0.641128533338509,0.6735835308598245,0.6437592546316626,0.660697489942773,0.6356094639113506,0.6729134795172532,0.6493797311385814,0.6513500705777022,0.012979624660866095,18
3.9816436529159547,0.22942253943616736,0.007021021842956543,0.0005757009266115585,0.01,100,0.5,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.5}",0.6562210129368733,0.6505798827861222,0.6591695557695932,0.6499915490201311,0.6758147512864494,0.6515135341027364,0.6709562662392852,0.6466813174360344,0.6873011825842014,0.6574724468849763,0.6605701499046404,0.012537639343647333,15
3.6903687477111817,0.03432887320403644,0.006793975830078125,0.0005945155510982847,0.01,100,0.9,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.9}",0.6535898872906157,0.6483878846105635,0.6587482198354606,0.6466172223691372,0.67462231398342,0.6485245559596389,0.6677808536299104,0.6428842589219947,0.6840759897363672,0.6538421378109034,0.6579073324148013,0.012764656633763333,16
5.653537344932556,0.07905426141740783,0.007786059379577636,0.0007902632195963546,0.01,150,0.5,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.5}",0.655287361620259,0.6533678974366439,0.6603878716712641,0.651199351741104,0.6772097694944696,0.6537888290176727,0.6710861805201428,0.6488153922116187,0.6908371983843684,0.6598695840807103,0.6621849436178253,0.012766202592889549,13
5.537638258934021,0.04156989749642467,0.007719659805297851,0.0013144504303489086,0.01,150,0.9,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.9}",0.6548247816695416,0.6515252603427458,0.6610805285380289,0.6494626551603948,0.677291448821432,0.6525126906221619,0.6711764324971872,0.6480877103518613,0.686684393288167,0.6587039998963925,0.6611349901187913,0.012383581885036252,14
1.8315932989120483,0.025205384650037403,0.006694293022155762,0.0010857805977796944,0.05,50,0.5,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.5}",0.65909636785781,0.6548890738130416,0.664477903315938,0.6510748109851416,0.6776953975721022,0.6566536707579113,0.6746149114073642,0.6506519997086035,0.6961831103340537,0.6618308413575171,0.6647168087109483,0.013572181488194737,11
1.834237265586853,0.04228330236806641,0.006511116027832031,0.00040780513813440123,0.05,50,0.9,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.9}",0.6573281317350064,0.6536489228437669,0.6638378123526637,0.652301618301992,0.6781955823614707,0.6570244625540722,0.6725075479792462,0.6488506026241877,0.6914009697028565,0.6605709581749541,0.6635666608630217,0.012654192976059922,12
3.9050894260406492,0.06672554421928974,0.007587790489196777,0.0014832379182782628,0.05,100,0.5,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.5}",0.660932130948944,0.6591024331543667,0.6656270748368638,0.656668631822751,0.6834982689643627,0.6631795254997198,0.67739531984815,0.6564196271743442,0.6987198789085582,0.6648496234515539,0.6686392514609614,0.013032697114079962,7
4.312385106086731,0.3760134060585629,0.00811624526977539,0.001704924927764945,0.05,100,0.9,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.9}",0.6607153976853212,0.6577377414291294,0.6660690327792887,0.6556140789281083,0.6824974950325221,0.6603510755388207,0.6755291679819981,0.6554240224051544,0.6955865569073116,0.663852401427193,0.6673376970114848,0.012541452432228848,9
6.424900817871094,0.40874478291330035,0.008331489562988282,0.0009302691803441049,0.05,150,0.5,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.5}",0.6622786267845112,0.6577745375615727,0.6655987701195994,0.6609741836717363,0.6829030611956075,0.6642672353488718,0.67936305577815,0.6577244360263228,0.6998223290676122,0.6654340344106353,0.669614026996462,0.012869954099929665,5
5.822089076042175,0.09259910487401857,0.008055353164672851,0.00105657979612552,0.05,150,0.9,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.9}",0.6636235052076636,0.6605209038424058,0.6656958148645052,0.6605665957431321,0.6839568053840425,0.6643489146758341,0.6792100726062988,0.6577126992221333,0.695878762859895,0.6640037654844622,0.6695517839890373,0.011849956433012713,6
1.9995971202850342,0.11963830653374212,0.006995534896850586,0.0011382014380526997,0.1,50,0.5,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.5}",0.6637209543056732,0.6584607247786773,0.6630529629782385,0.653025814710851,0.6827526418410035,0.6639105959113432,0.6794172879078539,0.6564495762608971,0.6994451324640004,0.6653522816310409,0.668558797278958,0.013597139578726781,8
