mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.595942497253418,0.013579704149298856,0.007919740676879884,0.001982161838096074,0.01,6,10,0.5,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 10, 'subsample': 0.5}",0.6373526840554676,0.6328801343746234,0.6516498010987082,0.6358218032045793,0.6639384962755036,0.6413598233138678,0.6558194312911294,0.6315064390536088,0.6739459135685552,0.6427484475066213,0.6467022973742664,0.013486447940083647,89
0.6130142450332642,0.017991134243317348,0.00820777416229248,0.0016116254739774122,0.01,6,10,0.9,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 10, 'subsample': 0.9}",0.6347644198382103,0.6196565748219027,0.6407350977685369,0.6273251314349763,0.6567110888986472,0.633567939004143,0.6498563253280234,0.6311531207757622,0.6577952615688466,0.6331509949556107,0.638471595439466,0.01199468728515015,90
2.8514183521270753,0.23660996343122484,0.0071666955947875975,0.0012222199545798677,0.01,6,50,0.5,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.5}",0.6503239272714333,0.6450580368009846,0.6566666100572323,0.6428814040433692,0.672448511697531,0.6440863762926158,0.6668633593161895,0.6407938936240822,0.6817132496377779,0.6522143671201651,0.6553049735861382,0.013254750502516295,81
2.251821827888489,0.19450539178918108,0.006604838371276856,0.0013771382228366985,0.01,6,50,0.9,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.9}",0.6451186897665508,0.637890473683487,0.6534200589870306,0.641128533338509,0.6735835308598245,0.6437592546316626,0.660697489942773,0.6356094639113506,0.6729134795172532,0.6493797311385814,0.6513500705777022,0.012979624660866095,86
3.5065169811248778,0.10480888142654729,0.006451153755187988,0.000601353805186675,0.01,6,100,0.5,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.5}",0.6562210129368733,0.6505798827861222,0.6591695557695932,0.6499915490201311,0.6758147512864494,0.6515135341027364,0.6709562662392852,0.6466813174360344,0.6873011825842014,0.6574724468849763,0.6605701499046404,0.012537639343647333,69
3.409454345703125,0.07997006991274846,0.00651853084564209,0.0005620112067901768,0.01,6,100,0.9,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.6535898872906157,0.6483878846105635,0.6587482198354606,0.6466172223691372,0.67462231398342,0.6485245559596389,0.6677808536299104,0.6428842589219947,0.6840759897363672,0.6538421378109034,0.6579073324148013,0.012764656633763333,76
5.297128796577454,0.21434724240118533,0.006846117973327637,0.0006973197870840521,0.01,6,150,0.5,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.5}",0.655287361620259,0.6533678974366439,0.6603878716712641,0.651199351741104,0.6772097694944696,0.6537888290176727,0.6710861805201428,0.6488153922116187,0.6908371983843684,0.6598695840807103,0.6621849436178253,0.012766202592889549,63
4.8584331512451175,0.05426425535546165,0.006793832778930664,0.0008283803572279691,0.01,6,150,0.9,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.9}",0.6548247816695416,0.6515252603427458,0.6610805285380289,0.6494626551603948,0.677291448821432,0.6525126906221619,0.6711764324971872,0.6480877103518613,0.686684393288167,0.6587039998963925,0.6611349901187913,0.012383581885036252,67
6.659125328063965,0.10645343314958934,0.0072879791259765625,0.0005924662833594883,0.01,6,200,0.5,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.6563847759439017,0.6542841615697957,0.663227239165965,0.6503481884576598,0.6779881492192346,0.6565663304874961,0.6731174570797211,0.6501181774766681,0.6917725002630664,0.6598497529609075,0.6633656732624417,0.012847691115289349,61
6.431769299507141,0.04343922948543011,0.007194709777832031,0.0008062144949549576,0.01,6,200,0.9,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",0.6543444101822582,0.6530480541315588,0.6624023588342661,0.6503570842259428,0.6774414638229322,0.6527455980099357,0.6715046582971111,0.6485191390851769,0.689789385072404,0.6599019614191635,0.6620054113080749,0.012834605829346963,65
0.475984787940979,0.009010131924930456,0.0056874752044677734,0.0008971842240686277,0.01,8,10,0.5,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 10, 'subsample': 0.5}",0.6459613616348158,0.6449557354657299,0.6549388092448057,0.6405106817959424,0.67081128598035,0.6483231881139595,0.6597136219777728,0.6401831750888356,0.6765272010555029,0.65315938068627,0.6535084441043985,0.011719310170033241,84
0.4760392904281616,0.009521812710246845,0.00538947582244873,0.0005117051992984009,0.01,8,10,0.9,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 10, 'subsample': 0.9}",0.642252230613897,0.6369976620303539,0.6475900959368174,0.6350555540729275,0.6665122037810249,0.6447260629027862,0.6539136171211644,0.6350821171575888,0.670938053956922,0.6469761184751569,0.6480043716048639,0.011850233645565988,87
